experiment_id,dataset_id,task_id,candidate_id,candidate_source,candidate_generation,candidate_parent_id,method_id,method_family,seed,budget,coverage_target,split_id,coverage,mean_set_size,median_set_size,q90_set_size,point_risk,accuracy,conformal_q,parse_failure_rate,prompt_search_family,optimization_rows,final_rows,search_top_k
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,1,40,0.8,seed1_b40_c80,0.9214285714285714,1.0,1.0,1.0,0.07857142857142863,0.9214285714285714,0.44999999999999996,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,1,40,0.9,seed1_b40_c90,0.9642857142857143,1.292857142857143,1.0,2.0,0.07857142857142863,0.9214285714285714,0.6,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,1,80,0.8,seed1_b80_c80,0.93,1.0,1.0,1.0,0.06999999999999995,0.93,0.44999999999999996,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,1,80,0.9,seed1_b80_c90,0.96,1.28,1.0,2.0,0.06999999999999995,0.93,0.6,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,2,40,0.8,seed2_b40_c80,0.9642857142857143,1.3142857142857143,1.0,2.0,0.07857142857142863,0.9214285714285714,0.6,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,2,40,0.9,seed2_b40_c90,0.9642857142857143,1.3142857142857143,1.0,2.0,0.07857142857142863,0.9214285714285714,0.6,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,2,80,0.8,seed2_b80_c80,0.86,0.95,1.0,1.0,0.08999999999999997,0.91,0.4,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,2,80,0.9,seed2_b80_c90,0.91,1.05,1.0,1.0,0.08999999999999997,0.91,0.55,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,3,40,0.8,seed3_b40_c80,0.9285714285714286,1.0,1.0,1.0,0.0714285714285714,0.9285714285714286,0.44999999999999996,0.0,fixed_only,32,180,2
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,fixed_original,fixed_original_paper_style,0,,cached_llm_anes_original_persona,llm_cached,3,40,0.9,seed3_b40_c90,0.9285714285714286,1.0571428571428572,1.0,1.0,0.0714285714285714,0.9285714285714286,0.55,0.0,fixed_only,32,180,2
